date,addressnumberandstreet,year,month,week,day,year_month,wnvpresent,RESTUANS,PIPIENS,SALINARIUS,TERRITANS,TARSALIS,ERRATICUS,station_ref,station,tavg,preciptotal,stnpressure,avgspeed,raining,misty,humidity,trange,tavg_5ma,trange_5ma,stnpressure_5ma,avgspeed_5ma,humidity_5ma,preciptotal_5ma,tavg_10ma,trange_10ma,stnpressure_10ma,avgspeed_10ma,humidity_10ma,preciptotal_10ma,preciptotal_5sum,raining_5sum,misty_5sum,preciptotal_10sum,raining_10sum,misty_10sum
2007-05-29,"1100  W ROOSEVELT, Chicago, IL",2007,5,22,2,2007-05,0,1,1,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"1100  W ROOSEVELT, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"1100  S PEORIA ST, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"1100  W CHICAGO, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"1500  N LONG AVE, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"1500  W WEBSTER AVE, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"1700  W 95TH ST, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2100  N STAVE ST, Chicago, IL",2007,5,22,2,2007-05,0,1,1,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2200  N CANNON DR, Chicago, IL",2007,5,22,2,2007-05,0,1,1,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2200  N CANNON DR, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2200  W 113TH ST, Chicago, IL",2007,5,22,2,2007-05,0,1,1,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2200  W 113TH ST, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2200  W 89TH ST, Chicago, IL",2007,5,22,2,2007-05,0,0,1,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2200  W 89TH ST, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"2500  W GRAND AVE, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,2,2,77.0,0.0,29.44,7.4,0,1,53.79912917163951,23,66.2,18.0,29.466,7.56,60.30610478873905,0.09,68.0,22.0,29.451,9.23,53.123810709530346,0.05600000000000001,0.45,3.0,4.0,0.56,5.0,5.0
2007-05-29,"4100  N OAK PARK AVE, Chicago, IL",2007,5,22,2,2007-05,0,1,1,0,0,0,0,1,1,74.0,0.0,29.39,6.5,0,1,57.36879214984288,28,65.0,21.0,29.406,7.459999999999999,60.516884358507355,0.21000000000000002,66.5,25.3,29.387999999999998,9.55,54.92624533674107,0.11400000000000002,1.05,3.0,3.0,1.1400000000000001,5.0,4.0
2007-05-29,"4100  N OAK PARK AVE, Chicago, IL",2007,5,22,2,2007-05,0,1,0,0,0,0,0,1,1,74.0,0.0,29.39,6.5,0,1,57.36879214984288,28,65.0,21.0,29.406,7.459999999999999,60.516884358507355,0.21000000000000002,66.5,25.3,29.387999999999998,9.55,54.92624533674107,0.11400000000000002,1.05,3.0,3.0,1.1400000000000001,5.0,4.0
